type,length,azimuth,dip_azimuth,dip,kine,aperture,source
Fracture,48,69,,,,,dem
Fracture,49,68,,,,,dem
Fracture,48,4,,,,,dem
Fracture,31,62,,,,,dem
Fracture,77,78,,,,,dem
Fracture,106,70,,,,,dem
Fracture,54,4,,,,,dem
Fracture,42,137,,,,,dem
Fracture,46,2,,,,,dem
Fracture,88,107,,,,,dem
Fracture,52,66,,,,,dem
Fracture,73,5,,,,,dem
Fracture,82,11,,,,,dem
Fracture,25,14,,,,,dem
Fracture,55,116,,,,,dem
Fracture,176,63,,,,,dem
Fracture,79,60,,,,,dem
Fracture,81,138,,,,,dem
Fracture,55,61,,,,,dem
Fracture,148,31,,,,,dem
Fracture,54,69,,,,,dem
Fracture,72,98,,,,,dem
Fracture,93,126,,,,,dem
Fracture,70,5,,,,,dem
Fracture,79,72,,,,,dem
Fracture,23,120,,,,,dem
Fracture,43,116,,,,,dem
Fracture,33,110,,,,,dem
Fracture,41,132,,,,,dem
Fracture,58,65,,,,,dem
Fracture,51,70,,,,,dem
Fracture,51,71,,,,,dem
Fracture,28,155,,,,,dem
Fracture,36,2,,,,,dem
Fracture,48,0,,,,,dem
Fracture,70,133,,,,,dem
Fracture,26,64,,,,,dem
Fracture,44,48,,,,,dem
Fracture,66,120,,,,,dem
Fracture,94,45,,,,,dem
Fracture,65,63,,,,,dem
Fracture,45,13,,,,,dem
Fracture,80,56,,,,,dem
Fracture,23,20,,,,,dem
Fracture,31,117,,,,,dem
Fracture,68,81,,,,,dem
Fracture,49,59,,,,,dem
Fracture,63,141,,,,,dem
Fracture,21,99,,,,,dem
Fracture,35,70,,,,,dem
Fracture,79,61,,,,,dem
Fracture,204,64,,,,,dem
Fracture,130,7,,,,,dem
Fracture,64,72,,,,,dem
Fracture,42,157,,,,,dem
Fracture,46,95,,,,,dem
Fracture,73,81,,,,,dem
Fracture,26,174,,,,,dem
Fracture,28,177,,,,,dem
Fracture,22,175,,,,,dem
Fracture,49,74,,,,,dem
Fracture,38,125,,,,,dem
Fracture,82,63,,,,,dem
Fracture,90,74,,,,,dem
Fracture,46,34,,,,,dem
Fracture,15,26,,,,,dem
Fracture,79,89,,,,,dem
Fracture,68,42,,,,,dem
Fracture,13,55,,,,,dem
Fracture,33,88,,,,,dem
Fracture,38,56,,,,,dem
Fracture,103,94,,,,,dem
Fracture,133,63,,,,,dem
Fracture,143,75,,,,,dem
Fracture,88,108,,,,,dem
Fracture,144,35,,,,,dem
Fracture,80,59,,,,,dem
Fracture,45,55,,,,,dem
Fracture,434,68,,,,,dem
Fracture,68,89,,,,,dem
Fracture,170,72,,,,,dem
Fracture,157,62,,,,,dem
Fracture,49,48,,,,,dem
Fracture,102,58,,,,,dem
Fracture,210,61,,,,,dem
Fracture,215,55,,,,,dem
Fracture,64,78,,,,,dem
Fracture,104,59,,,,,dem
Fracture,57,146,,,,,dem
Fracture,197,104,,,,,dem
Fracture,80,82,,,,,dem
Fracture,45,104,,,,,dem
Fracture,309,60,,,,,dem
Fracture,164,97,,,,,dem
Fracture,69,45,,,,,dem
Fracture,95,145,,,,,dem
Fracture,146,107,,,,,dem
Fracture,73,141,,,,,dem
Fracture,172,119,,,,,dem
Fracture,138,113,,,,,dem
